32726993 INFO  [2013-11-03 23:41:25]  180-/-1815723-/-17700000
32759469 INFO  [2013-11-03 23:41:57]  180-/-1815723-/-17710000
32773141 INFO  [2013-11-03 23:42:11]  180-/-1815786-/-17720000
32787431 INFO  [2013-11-03 23:42:25]  180-/-1815860-/-17730000
32800755 INFO  [2013-11-03 23:42:38]  180-/-1815941-/-17740000
32814690 INFO  [2013-11-03 23:42:52]  180-/-1816003-/-17750000
32827000 INFO  [2013-11-03 23:43:05]  180-/-1816065-/-17760000
32837406 INFO  [2013-11-03 23:43:15]  180-/-1816117-/-17770000
32849847 INFO  [2013-11-03 23:43:28]  180-/-1816155-/-17780000
32862391 INFO  [2013-11-03 23:43:40]  180-/-1816221-/-17790000
32872771 INFO  [2013-11-03 23:43:50]  180-/-1816282-/-17800000
32881989 INFO  [2013-11-03 23:44:00]  180-/-1816346-/-17810000
32890846 INFO  [2013-11-03 23:44:09]  180-/-1816400-/-17820000
32901779 INFO  [2013-11-03 23:44:19]  180-/-1816474-/-17830000
32913894 INFO  [2013-11-03 23:44:32]  180-/-1816553-/-17840000
32946938 INFO  [2013-11-03 23:45:05]  180-/-1816585-/-17850000
32967458 INFO  [2013-11-03 23:45:25]  180-/-1816591-/-17860000
32980895 INFO  [2013-11-03 23:45:39]  180-/-1816646-/-17870000
32994511 INFO  [2013-11-03 23:45:52]  180-/-1817764-/-17880000
33001905 INFO  [2013-11-03 23:46:00]  180-/-1826832-/-17890000
33008678 INFO  [2013-11-03 23:46:06]  180-/-1835783-/-17900000
33015743 INFO  [2013-11-03 23:46:13]  180-/-1844607-/-17910000
33022660 INFO  [2013-11-03 23:46:20]  180-/-1853344-/-17920000
33028960 INFO  [2013-11-03 23:46:27]  180-/-1862051-/-17930000
33035393 INFO  [2013-11-03 23:46:33]  180-/-1870751-/-17940000
33040884 INFO  [2013-11-03 23:46:39]  180-/-1879476-/-17950000
33046896 INFO  [2013-11-03 23:46:45]  180-/-1888303-/-17960000
33052864 INFO  [2013-11-03 23:46:51]  180-/-1897005-/-17970000
33058711 INFO  [2013-11-03 23:46:56]  180-/-1905896-/-17980000
33064902 INFO  [2013-11-03 23:47:03]  180-/-1914637-/-17990000
33071337 INFO  [2013-11-03 23:47:09]  180-/-1923195-/-18000000
33077635 INFO  [2013-11-03 23:47:15]  180-/-1932071-/-18010000
33084290 INFO  [2013-11-03 23:47:22]  180-/-1940998-/-18020000
33091395 INFO  [2013-11-03 23:47:29]  180-/-1949961-/-18030000
33097922 INFO  [2013-11-03 23:47:36]  180-/-1958913-/-18040000
33104047 INFO  [2013-11-03 23:47:42]  180-/-1967960-/-18050000
33111232 INFO  [2013-11-03 23:47:49]  180-/-1977191-/-18060000
33118553 INFO  [2013-11-03 23:47:56]  180-/-1986519-/-18070000
33124810 INFO  [2013-11-03 23:48:03]  180-/-1995790-/-18080000
33132408 INFO  [2013-11-03 23:48:10]  180-/-2005191-/-18090000
33139658 INFO  [2013-11-03 23:48:17]  180-/-2014524-/-18100000
33147133 INFO  [2013-11-03 23:48:25]  180-/-2023980-/-18110000
33154307 INFO  [2013-11-03 23:48:32]  180-/-2033388-/-18120000
33161434 INFO  [2013-11-03 23:48:39]  180-/-2042698-/-18130000
33168527 INFO  [2013-11-03 23:48:46]  180-/-2051900-/-18140000
33175980 INFO  [2013-11-03 23:48:54]  180-/-2061207-/-18150000
33182936 INFO  [2013-11-03 23:49:01]  180-/-2070428-/-18160000
33188895 INFO  [2013-11-03 23:49:07]  180-/-2079030-/-18170000
33195669 INFO  [2013-11-03 23:49:13]  180-/-2087846-/-18180000
33202240 INFO  [2013-11-03 23:49:20]  180-/-2096507-/-18190000
33209881 INFO  [2013-11-03 23:49:28]  180-/-2105759-/-18200000
33218219 INFO  [2013-11-03 23:49:36]  180-/-2115263-/-18210000
33227622 INFO  [2013-11-03 23:49:45]  180-/-2124505-/-18220000
33235814 INFO  [2013-11-03 23:49:54]  180-/-2133661-/-18230000
33242508 INFO  [2013-11-03 23:50:00]  180-/-2142477-/-18240000
33250999 INFO  [2013-11-03 23:50:09]  180-/-2151574-/-18250000
33258044 INFO  [2013-11-03 23:50:16]  180-/-2160485-/-18260000
33265855 INFO  [2013-11-03 23:50:24]  180-/-2169546-/-18270000
33273107 INFO  [2013-11-03 23:50:31]  180-/-2178577-/-18280000
33279528 INFO  [2013-11-03 23:50:37]  180-/-2187562-/-18290000
33286802 INFO  [2013-11-03 23:50:45]  180-/-2196679-/-18300000
33293996 INFO  [2013-11-03 23:50:52]  180-/-2205836-/-18310000
33301570 INFO  [2013-11-03 23:50:59]  180-/-2215132-/-18320000
33309176 INFO  [2013-11-03 23:51:07]  180-/-2224543-/-18330000
33317369 INFO  [2013-11-03 23:51:15]  180-/-2233961-/-18340000
33325330 INFO  [2013-11-03 23:51:23]  180-/-2243268-/-18350000
33333327 INFO  [2013-11-03 23:51:31]  180-/-2252291-/-18360000
33340545 INFO  [2013-11-03 23:51:38]  180-/-2261300-/-18370000
33348112 INFO  [2013-11-03 23:51:46]  180-/-2270244-/-18380000
33355055 INFO  [2013-11-03 23:51:53]  180-/-2279136-/-18390000
33361722 INFO  [2013-11-03 23:51:59]  180-/-2288127-/-18400000
33368382 INFO  [2013-11-03 23:52:06]  180-/-2296986-/-18410000
33375034 INFO  [2013-11-03 23:52:13]  180-/-2306025-/-18420000
33382416 INFO  [2013-11-03 23:52:20]  180-/-2314941-/-18430000
33389329 INFO  [2013-11-03 23:52:27]  180-/-2323672-/-18440000
33395253 INFO  [2013-11-03 23:52:33]  180-/-2332330-/-18450000
33401004 INFO  [2013-11-03 23:52:39]  180-/-2340996-/-18460000
